Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;2;20;349;1135,629;303,715;70,184;24,927;17,826;99,229;25,962;1132;292;105,642;18;7,8525;1,580989684;;;;
1;na;2;21;191;570,615;308,715;56,284;20,97;11,597;10,674;22,472;560;312;20,854;12;4,2975;1,169588276;;;;
1;na;2;22;1252;267,26;334,211;161,924;51,536;30,931;44,911;61,717;237;347;40,4;35,149;28,17;2,9944598;;;;
1;na;2;23;134;1030,634;309,754;43,456;16,746;10,189;171,603;17,72;1022;307;163,61;10;3,015;0,97964499;;;;
1;na;2;24;415;481,792;322,047;83,983;27,661;19,102;72,131;29,12;477;336;74,055;20,13;9,3375;1,724012344;;;;
1;na;2;25;844;1896,331;327,857;111,74;41,003;26,208;85,285;41,761;1890;348;73,301;26,81;18,99;2,458598125;;;;
1;na;2;26;102;1286,98;314,392;37,456;13,294;9,769;28,154;14,318;1280;317;24,775;10,607;2,295;0,854705323;;;;
1;na;2;27;3821;795,271;339,21;300,208;115,326;42,185;175,991;116,103;729;337;169,077;50,518;85,9725;5,231242366;;;;
1;na;2;28;884;398,81;329,798;129,983;51,448;21,877;172,785;52,612;372;323;171,254;23,492;19,89;2,516184341;;;;
1;na;2;29;488;145,682;337,195;101,983;27,441;22,643;106,858;31,064;141;355;56,821;27,292;10,98;1,86950329;;;;
1;na;2;30;700;660,983;342,49;117,296;40,995;21,741;157,042;46,53;636;338;171,347;23,712;15,75;2,239057996;;;;
1;na;2;31;318;943,733;345,371;65,355;22,961;17,634;95,64;23,77;940;334;104,621;17;7,155;1,509141225;;;;
1;na;2;32;140;2030,521;339,843;44,87;17,393;10,248;17,889;18,385;2022;344;22,38;11;3,15;1,001337177;;;;
1;na;2;33;418;1069,761;413,617;76,426;25,373;20,976;36,34;26,907;1061;423;41,987;21,92;9,405;1,730232493;;;;
1;na;2;34;168;59,667;416,637;50,042;17,8;12,017;15,354;18,868;51;421;32,005;12,661;3,78;1,096909919;;;;
1;na;2;35;130;924,477;453,323;41,456;13,12;12,615;43,396;14,765;918;457;28,301;12,973;2,925;0,964912647;;;;
1;na;2;36;1297;1712,756;476,872;134,024;42,539;38,821;63,618;43,932;1708;498;78,179;39,295;29,1825;3,047798919;;;;
1;na;2;37;94;492,17;463,968;37,799;13,585;8,81;105,886;14,422;489;457;123,69;9,804;2,115;0,820503144;;;;
1;na;2;38;495;1899,858;503,32;88,912;32,192;19,578;88,24;33,377;1897;488;98,616;21;11,1375;1,882863871;;;;
1;na;2;39;141;168,833;520,131;56,284;21,131;8,496;17,079;23,707;160;526;27,646;10,125;3,1725;1,004907018;;;;
