Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;area_in_nm2;radius_in_nm;;;;
1;na;1;82;570;1897,093;1037,095;89,841;28,747;25,246;53,321;30,806;1889;1049;54,246;26,392;12,825;2,020476253;;;;
1;na;1;83;252;253,476;1040,397;58,527;18,928;16,952;4,592;19,647;244;1038;165,256;17;5,67;1,343434797;;;;
1;na;1;84;803;827,93;1046,791;104,569;34,502;29,633;167,887;35,171;811;1042;165,174;30;18,0675;2,398137583;;;;
1;na;1;85;701;1523,792;1058,745;99,64;34,729;25,7;41,895;35;1510;1069;36,87;26,163;15,7725;2,240656752;;;;
1;na;1;86;376;1887,069;1106,941;72,184;24,974;19,169;178,093;25,632;1875;1102;159,444;19;8,46;1,641006288;;;;
1;na;1;87;1448;1209,181;1127,173;146,267;47,081;39,159;0,474;49,649;1184;1121;170,727;40,897;32,58;3,220331674;;;;
1;na;1;88;516;350,32;1129,293;84,426;27,837;23,601;3,121;28,46;337;1133;18,435;23;11,61;1,922388561;;;;
1;na;1;89;504;1478,544;1137,165;83,841;28,92;22,189;3,52;29,833;1464;1139;13,57;22;11,34;1,899903711;;;;
1;na;1;90;86;1387,453;1143,477;33,213;11,139;9,83;173,474;11,705;1382;1142;160,017;10;1,935;0,784811844;;;;
1;na;1;91;6956;1919,63;1183,01;327,563;110,495;80,154;17,473;109,225;1885;1227;49,456;81,667;156,51;7,058234927;;;;
1;na;1;92;1325;541,267;1190,594;151,338;54,054;31,21;61,704;56,462;535;1214;67,068;36,062;29,8125;3,080521625;;;;
1;na;1;93;69;447,746;1171,92;30,042;9,871;8,901;45,713;10,63;444;1176;41,186;9,192;1,5525;0,702976599;;;;
1;na;1;94;350;51,58;1190,271;69,012;23,49;18,971;48,939;24,207;42;1198;38,29;19,799;7,875;1,583253092;;;;
1;na;1;95;89;1091,612;1188,185;37,213;12,795;8,857;137,104;14,213;1085;1184;140,711;10,756;2,0025;0,798383083;;;;
1;na;1;96;1139;1354,228;1206,428;130,569;46,195;31,393;5,683;45,706;1332;1201;169,919;31,078;25,6275;2,856131406;;;;
1;na;1;97;296;444,064;1213,389;64,184;20,963;17,978;49,449;22,204;435;1220;35,838;18,342;6,66;1,456002693;;;;
1;na;1;98;565;1605,996;1215,408;93,74;32,319;22,259;168,188;33,956;1590;1210;166,373;24;12,7125;2,011594996;;;;
1;na;1;99;387;294,42;1231,474;72,77;25,373;19,42;32,398;26,907;284;1240;41,987;20,13;8,7075;1,66483733;;;;
1;na;1;100;387;1818,084;1238,203;74,426;26,751;18,42;7,822;27,659;1805;1242;12,529;19;8,7075;1,66483733;;;;
1;na;1;101;163;116,764;1242,021;46,87;15,368;13,505;33,876;16,401;110;1247;37,569;14;3,6675;1,080463561;;;;
1;na;1;102;217;1250,915;1245,44;54,77;18,301;15,097;63,546;19,313;1247;1254;68,749;15,66;4,8825;1,246654731;;;;
1;na;1;103;1227;918,964;1258,466;131,782;46,149;33,852;40,86;47,885;897;1268;28,706;34,648;27,6075;2,964412283;;;;
1;na;1;104;79;1658,449;1250,677;33,456;10,639;9,455;72,08;11,705;1656;1256;70,017;10,29;1,7775;0,752194006;;;;
1;na;1;105;408;1211,429;1261,419;76,426;27,536;18,865;56,37;28,844;1203;1273;56,31;19,979;9,18;1,709410646;;;;
1;na;1;106;2038;1974,707;1328,162;188,894;65,3;39,737;63,749;70,328;1956;1363;60,154;45,255;45,855;3,82048424;;;;
1;na;1;107;8986;1535,031;1373,089;380,676;112,388;101,802;179,683;120,95;1485;1403;32,508;105,642;202,185;8,022311658;;;;
1;na;1;108;775;1925,416;1343,665;107,64;39,081;25,249;51,621;39,699;1912;1358;49,086;26,04;17,4375;2,355955993;;;;
1;na;1;109;363;701,665;1352,012;70,184;22,824;20,25;126,724;24,187;695;1342;119,745;21;8,1675;1,612388289;;;;
1;na;1;110;3505;1365,889;1379,295;235,238;68,832;64,835;127,452;79,906;1332;1355;134,493;66;78,8625;5,010260811;;;;
1;na;1;111;149;391,742;1378,654;44,284;13,866;13,682;14,455;15;386;1383;36,87;14;3,3525;1,033021729;;;;
1;na;1;112;369;1273,966;1392,213;73,598;24,402;19,254;128,856;26,627;1266;1381;124,287;20,67;8,3025;1,625659199;;;;
1;na;1;113;499;1217,847;1427,37;83,255;29,207;21,753;9,77;29,732;1203;1431;19,654;22;11,2275;1,890456095;;;;
1;na;1;114;342;1034,883;1431,123;67,598;21,759;20,012;13,232;22,847;1024;1435;23,199;20;7,695;1,565054176;;;;
1;na;1;115;727;508,279;1446,206;100,569;32,725;28,286;160,181;34,482;492;1438;150,461;28,89;16,3575;2,281831274;;;;
1;na;1;116;376;1852,896;1445,468;72,184;24,55;19,501;10,027;25,298;1841;1449;18,435;20;8,46;1,641006288;;;;
1;na;1;117;6327;1642,98;1489,489;310,049;97,987;82,213;146,693;99,569;1606;1453;123,53;82,21;142,3575;6,731552542;;;;
1;na;1;118;87;853,638;1469,408;39,698;12,963;8,545;4,478;14,318;847;1472;12,095;10,414;1,9575;0,789361516;;;;
1;na;1;119;580;478,052;1484,06;88,912;30,96;23,852;66,331;31,953;474;1500;69,864;25;13,05;2,038122669;;;;
1;na;1;120;157;103,869;1500,85;46,284;14,942;13,379;176,113;15,811;97;1497;145,305;13,918;3,5325;1,060391283;;;;
1;na;1;121;603;422,857;1509,331;91,154;30,552;25,13;37,645;31,401;412;1521;52,765;25,456;13,5675;2,078140847;;;;
1;na;1;122;722;1241,634;1519,496;99,154;32,041;28,691;110,895;33,526;1236;1504;107,354;29;16,245;2,273970998;;;;
1;na;1;123;541;586,544;1519,415;86,669;28,422;24,236;44,106;29,833;575;1530;50,44;25,456;12,1725;1,968407247;;;;
1;na;1;124;177;124,195;1527,421;48,87;15,64;14,41;37,814;17,205;117;1532;35,538;15;3,9825;1,125908132;;;;
1;na;1;125;114;279,807;1539,658;39,799;13,467;10,778;151,465;14,866;274;1535;137,726;11;2,565;0,90358445;;;;
1;na;1;126;2342;1314,137;1605,9;184,409;55,991;53,257;101,263;59,615;1304;1632;67,306;53,61;52,695;4,095526761;;;;
1;na;1;127;1455;2013,264;1599,91;142,267;43,511;42,577;114,25;46,098;2006;1578;102,529;43,134;32,7375;3,22810624;;;;
1;na;1;128;102;134,706;1591,882;36,042;11,96;10,859;109,055;12,649;133;1586;108,435;11;2,295;0,854705323;;;;
1;na;1;129;242;278,574;1596,38;57,113;19,13;16,107;54,748;20,591;273;1605;60,945;16,971;5,445;1,316509525;;;;
1;na;1;130;66;946,288;1593,061;29,213;10,591;7,934;9,662;11,402;941;1595;15,255;8;1,485;0,687524677;;;;
1;na;1;131;1252;967,218;1622,578;162,995;46,968;33,94;36,182;52,631;948;1637;51,17;36,781;28,17;2,9944598;;;;
1;na;1;132;524;1924,885;1622,878;84,669;27,985;23,841;169,378;28,862;1911;1619;165,964;24;11,79;1,937233481;;;;
1;na;1;133;551;741,642;1636,172;87,497;28,851;24,317;85,982;29,833;738;1621;103,57;25;12,3975;1,986516251;;;;
1;na;1;134;157;66,048;1651,003;45,698;14,391;13,89;13,233;15,811;59;1654;18,435;14;3,5325;1,060391283;;;;
1;na;1;135;2470;1682,223;1676,617;209,137;65,337;48,134;42,371;75,432;1653;1706;51,459;53,033;55,575;4,205956719;;;;
