Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
2;na;2;16;613;1100,582;1823,573;94,326;33,001;23,65;16,059;33,242;1085;1829;15,709;24,036;13,7925;2,095301674
2;na;4;1;288;1160,08;570,583;63,941;22,317;16,431;84,025;22,847;1155;581;66,801;17;6,48;1,436192209
2;na;4;2;1538;1768,354;732,025;175,439;73,017;26,819;73,3;68,659;1758;765;77,381;26,893;34,605;3,318902471
2;na;4;3;1738;939,034;1238,28;158,267;49,927;44,323;68,608;53,488;932;1265;69,193;45,613;39,105;3,52810262
2;na;4;4;4242;436,721;1436,029;250,309;83,447;64,724;117,284;85,796;408;1406;130,746;67,677;95,445;5,511904125
2;na;4;5;1493;1278,942;1480,477;146,752;46,916;40,518;138,415;48,508;1271;1458;104,323;40,856;33,5925;3,269988509
2;na;4;6;422;1850,751;1636,526;75,74;24,186;22,216;175,469;26,306;1838;1639;8,746;22,627;9,495;1,738491406
2;na;4;7;1615;410,501;1873,404;152,267;49,933;41,181;52,881;51,225;395;1893;51,34;42,426;36,3375;3,400968316
2;na;3;1;460;67,679;127,613;132,024;33,689;17,385;68,561;44,283;68;147;83,517;23,685;10,35;1,815077773
2;na;3;2;135;184,115;166,478;48,527;18,92;9,085;120,069;20,125;181;157;116,565;9,803;3,0375;0,983293588
2;na;3;3;1760;92,939;194,557;198,936;84,622;26,481;47,374;81,835;67;229;51,45;29,485;39,6;3,550362164
2;na;3;4;517;200,256;203,956;93,154;35,727;18,425;33,452;37,216;184;215;30,7;20,364;11,6325;1,924250439
2;na;3;5;3202;360,248;278,89;294,617;127,317;32,022;141,055;122,577;319;243;138,638;41,329;72,045;4,788803165
2;na;3;6;2157;1818,472;395,022;279,262;119,817;22,921;137,034;117,456;1777;351;132,93;27,925;48,5325;3,93044203
2;na;3;7;137;1947,974;377,938;51,841;20,37;8,563;133,88;20,809;1940;372;144,782;9,708;3,0825;0,990550465
2;na;3;8;88;1465,443;404,148;34,385;11,812;9,486;121,154;12,806;1462;399;128,66;10;1,98;0,793885114
2;na;3;9;1760;1763,273;486,139;241,38;69,957;32,033;72,938;86,406;1742;528;66,105;41,967;39,6;3,550362164
2;na;3;10;217;1875,588;457,532;64,527;26,254;10,524;173,605;25,495;1863;454;168,69;11,583;4,8825;1,246654731
2;na;3;11;3242;1844,474;546,083;317,505;71,702;57,569;33,728;94,921;1799;567;16,526;70,105;72,945;4,818621654
2;na;3;12;7061;1714,251;581,281;688,465;105,384;85,311;60,573;146,659;1664;637;41,406;113,699;158,8725;7,11130701
