Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;7;1;2564;1210,214;229,236;189,723;58,798;55,522;82,755;62,37;1203;199;102,031;54,571;57,69;4,285241806;;;;
1;na;7;2;226;1793,102;253,628;56,77;20,166;14,269;67,252;21,19;1790;264;70,71;14,841;5,085;1,272244383;;;;
1;na;7;3;2725;485,195;557,586;199,037;67,051;51,746;60,71;66,91;481;590;80,538;51,447;61,3125;4,417734136;;;;
1;na;7;4;7056;778,313;585,632;324,676;110,944;80,977;172,649;115,732;721;589;6,45;80,837;158,76;7,108788753;;;;
1;na;7;5;3124;433,031;759,174;238,108;84,782;46,916;159,803;91,093;394;736;162,759;49,366;70,29;4,730116478;;;;
1;na;7;6;522;1997,397;775,464;84,669;28,967;22,944;14,246;29,732;1983;780;19,654;23,529;11,745;1,933532936;;;;
1;na;7;7;2404;1776,609;1099,043;185,48;59,82;51,168;1,456;62,642;1747;1107;16,699;51,85;54,09;4,149383297;;;;
1;na;7;8;4723;501,897;1113,719;268,291;89,483;67,203;150,196;88,64;484;1074;113,962;63,964;106,2675;5,816012021;;;;
1;na;7;9;3169;1725,776;1389,893;219,279;74,556;54,119;143,324;77,201;1708;1354;126,573;53,213;71,3025;4,764062411;;;;
1;na;7;10;5465;195,145;1422,42;325,061;132,828;52,385;61,091;124,423;170;1480;68,797;50,234;122,9625;6,256211264;;;;
1;na;7;11;7230;1741,972;1586,187;329,463;109,597;83,994;98,922;111,83;1733;1641;77,082;80,621;162,675;7,195905831;;;;
1;na;7;12;8869;262,038;1991,961;386,274;147,446;76,586;149,242;140,72;207;1948;140,768;74,588;199,5525;7,969914276;;;;
1;na;8;1;9100;1408,334;94,977;371,99;128,074;90,467;117,543;128,973;1367;43;131,228;89,45;204,75;8,073038412;;;;
