MaterialState;Sample;Image;Precipitate#;area;axis_major_length;axis_minor_length;aspect_ratio;centroid-X;centroid-Y;area_in_nm2;radius_in_nm;BitSizeValue;DiskRadiusValue[pixel];OtsuThresholdValue[np];KernelValue;MaskSetValue;BG_LabelValue;Date
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;1;111;15,73235979;8,994296411;1,749148469;53,76576577;147,1801802;2,4975;0,891615915;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;2;2854;115,7313403;41,69966676;2,77535408;174,9278206;201,4295725;64,215;4,521091609;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;3;479;30,35725192;20,15462761;1,506217456;205,9123173;1278,34238;10,7775;1,852183792;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;4;2467;75,89925865;41,93764293;1,80981222;356,249696;353,899473;55,5075;4,203401719;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;5;1362;43,87411673;40,02074575;1,096284337;401,3516887;543,6864905;30,645;3,123236536;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;6;515;36,90616581;18,53455685;1,991208428;446,6563107;993,6873786;11,5875;1,920524878;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;7;15451;259,0516912;80,42831881;3,220901481;558,7090156;246,5474079;347,6475;10,5194884;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;8;1928;59,93100139;41,44449095;1,446054711;606,4014523;559,7676349;43,38;3,715949793;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;9;8933;148,5971381;77,1019816;1,927280402;671,5607299;1058,46804;200,9925;7,998618618;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;10;6769;113,8006646;76,09847502;1,495439489;676,450879;1443,72182;152,3025;6,962714373;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;11;3362;103,3799737;42,68334988;2,422021091;677,0297442;1928,879239;75,645;4,906990049;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;12;1348;45,91897875;37,4570741;1,225909387;829,5749258;257,2603858;30,33;3,107143197;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;13;4238;86,45103015;64,13966999;1,347855862;1190,803445;654,5545068;95,355;5,509304783;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;14;406;27,9486237;21,43889254;1,303641205;1164,977833;1215,687192;9,135;1,705215766;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;15;287;35,07496579;10,63243379;3,298865198;1185,940767;1215,41115;6,4575;1,433696652;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;16;124;16,35837652;9,706557233;1,685291307;1182,298387;1234,822581;2,79;0,942382397;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;17;790;46,27518898;28,40663088;1,629027715;1199,055696;1193,778481;17,775;2,378646301;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;18;632;44,196315;19,57988684;2,257230359;1240,349684;1697,585443;14,22;2,12752593;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;19;6898;136,5236253;65,84231163;2,073493805;1301,130473;1245,413163;155,205;7,028747106;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;20;450;32,92901203;17,63165304;1,86760776;1468,993333;437,1066667;10,125;1,795240262;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;21;373;28,15792555;17,00006252;1,65634247;1525,702413;101,7077748;8,3925;1,63444661;4;8;Otsu;3;255;0;05.04.2023
190C-2500h;Sample2;Stelle3 DF 30s Spot 3 alpha 1 deltaE 15eV;22;1202;53,33687391;30,27151613;1,76194921;1545,369384;1032,230449;27,045;2,934057067;4;8;Otsu;3;255;0;05.04.2023
